version,pattern,n_rows,n_cols,time_elapsed
histogram_v1,random,56,56,0.000123874
histogram_v1,random,57,57,0.000113893
histogram_v1,random,120,120,0.000121647
histogram_v1,random,121,121,0.000153552
histogram_v1,random,184,184,0.000135486
histogram_v1,random,185,185,0.000156304
histogram_v1,random,248,248,0.000153082
histogram_v1,random,249,249,0.000192018
histogram_v1,random,312,312,0.000172257
histogram_v1,random,313,313,0.000171175
histogram_v1,random,376,376,0.000199405
histogram_v1,random,377,377,0.000206873
histogram_v1,random,440,440,0.000235399
histogram_v1,random,441,441,0.000239694
histogram_v1,random,504,504,0.000284712
histogram_v1,random,505,505,0.000262404
histogram_v1,random,568,568,0.000327194
histogram_v1,random,569,569,0.00053097
histogram_v1,random,632,632,0.000383404
histogram_v1,random,633,633,0.000624751
histogram_v1,random,696,696,0.00042333
histogram_v1,random,697,697,0.000725807
histogram_v1,random,760,760,0.000493811
histogram_v1,random,761,761,0.000875613
histogram_v1,random,824,824,0.000596387
histogram_v1,random,825,825,0.000578525
histogram_v1,random,888,888,0.000676247
histogram_v1,random,889,889,0.000667672
histogram_v1,random,952,952,0.000703822
histogram_v1,random,953,953,0.000774537
histogram_v1,random,1016,1016,0.000882969
histogram_v1,random,1017,1017,0.000872451
histogram_v1,random,1080,1080,0.00166028
histogram_v1,random,1081,1081,0.00171867
histogram_v1,random,1144,1144,0.00186493
histogram_v1,random,1145,1145,0.00179392
histogram_v1,random,1208,1208,0.00204103
histogram_v1,random,1209,1209,0.00199981
histogram_v1,random,1272,1272,0.00198294
histogram_v1,random,1273,1273,0.00211724
histogram_v1,random,1336,1336,0.00245653
histogram_v1,random,1337,1337,0.00251275
histogram_v1,random,1400,1400,0.0026906
histogram_v1,random,1401,1401,0.00276031
histogram_v1,random,1464,1464,0.00302266
histogram_v1,random,1465,1465,0.00302444
histogram_v1,random,1528,1528,0.00326235
histogram_v1,random,1529,1529,0.00306924
histogram_v1,random,1592,1592,0.00345572
histogram_v1,random,1593,1593,0.00350325
histogram_v1,random,1656,1656,0.00376002
histogram_v1,random,1657,1657,0.00363016
histogram_v1,random,1720,1720,0.00383145
histogram_v1,random,1721,1721,0.00401157
histogram_v1,random,1784,1784,0.00419726
histogram_v1,random,1785,1785,0.00440119
histogram_v1,random,1848,1848,0.00453934
histogram_v1,random,1849,1849,0.00460513
histogram_v1,random,1912,1912,0.00497455
histogram_v1,random,1913,1913,0.00454325
histogram_v1,random,1976,1976,0.00533106
histogram_v1,random,1977,1977,0.00530881
histogram_v1,random,2040,2040,0.00570498
histogram_v1,random,2041,2041,0.00570265
histogram_v1,random,2104,2104,0.00601756
histogram_v1,random,2105,2105,0.00601769
histogram_v1,random,2168,2168,0.00636088
histogram_v1,random,2169,2169,0.00633983
histogram_v1,random,2232,2232,0.00640821
histogram_v1,random,2233,2233,0.00667411
histogram_v1,random,2296,2296,0.00679536
histogram_v1,random,2297,2297,0.00685515
histogram_v1,random,2360,2360,0.00753457
histogram_v1,random,2361,2361,0.00721557
histogram_v1,random,2424,2424,0.00789633
histogram_v1,random,2425,2425,0.00753209
histogram_v1,random,2488,2488,0.00834717
histogram_v1,random,2489,2489,0.00779322
histogram_v1,random,2552,2552,0.00844452
histogram_v1,random,2553,2553,0.00862011
histogram_v1,random,2616,2616,0.00919503
histogram_v1,random,2617,2617,0.0088514
histogram_v1,random,2680,2680,0.00944884
histogram_v1,random,2681,2681,0.0096854
histogram_v1,random,2744,2744,0.00765461
histogram_v1,random,2745,2745,0.00952684
histogram_v1,random,2808,2808,0.00979061
histogram_v1,random,2809,2809,0.0102966
histogram_v1,random,2872,2872,0.0103039
histogram_v1,random,2873,2873,0.011106
histogram_v1,random,2936,2936,0.0115828
histogram_v1,random,2937,2937,0.0113852
histogram_v1,random,3000,3000,0.0104465
histogram_v1,random,3001,3001,0.0119247
histogram_v1,random,3064,3064,0.0121707
histogram_v1,random,3065,3065,0.0121147
histogram_v1,random,3128,3128,0.0124067
histogram_v1,random,3129,3129,0.013099
histogram_v1,random,3192,3192,0.013053
histogram_v1,random,3193,3193,0.0132145
histogram_v1,random,3256,3256,0.0136453
histogram_v1,random,3257,3257,0.011379
histogram_v1,random,3320,3320,0.0144328
histogram_v1,random,3321,3321,0.0147389
histogram_v1,random,3384,3384,0.0147523
histogram_v1,random,3385,3385,0.0153201
histogram_v1,random,3448,3448,0.0159011
histogram_v1,random,3449,3449,0.0158953
histogram_v1,random,3512,3512,0.0163902
histogram_v1,random,3513,3513,0.0154059
histogram_v1,random,3576,3576,0.0171183
histogram_v1,random,3577,3577,0.0167109
histogram_v1,random,3640,3640,0.0168976
histogram_v1,random,3641,3641,0.0171837
histogram_v1,random,3704,3704,0.0168597
histogram_v1,random,3705,3705,0.0178709
histogram_v1,random,3768,3768,0.0186879
histogram_v1,random,3769,3769,0.0184021
histogram_v1,random,3832,3832,0.0190901
histogram_v1,random,3833,3833,0.0187021
histogram_v1,random,3896,3896,0.0195451
histogram_v1,random,3897,3897,0.0193318
histogram_v1,random,3960,3960,0.0209759
histogram_v1,random,3961,3961,0.0203918
histogram_v1,random,4024,4024,0.0205919
histogram_v1,random,4025,4025,0.0202677
histogram_v1,random,4088,4088,0.0217785
histogram_v1,random,4089,4089,0.0223101
histogram_v1,random,32,32,0.000112199
histogram_v1,random,33,33,0.000116404
histogram_v1,random,128,128,0.000136473
histogram_v1,random,129,129,0.000133882
histogram_v1,random,256,256,0.000202109
histogram_v1,random,257,257,0.000198517
histogram_v1,random,512,512,0.000462487
histogram_v1,random,513,513,0.000457273
histogram_v1,random,1024,1024,0.00154297
histogram_v1,random,1025,1025,0.000797645
histogram_v1,random,2048,2048,0.00575767
histogram_v1,random,2049,2049,0.00575146
histogram_v1,random,4096,4096,0.0224231
histogram_v1,random,4097,4097,0.022305
histogram_v1,random,56,56,0.000111631
histogram_v1,random,57,57,0.00011494
histogram_v1,random,120,120,0.000124763
histogram_v1,random,121,121,0.000132264
histogram_v1,random,184,184,0.000141555
histogram_v1,random,185,185,0.000154038
histogram_v1,random,248,248,0.000152122
histogram_v1,random,249,249,0.000195303
histogram_v1,random,312,312,0.00017599
histogram_v1,random,313,313,0.000180592
histogram_v1,random,376,376,0.000211214
histogram_v1,random,377,377,0.000206422
histogram_v1,random,440,440,0.00025274
histogram_v1,random,441,441,0.000239004
histogram_v1,random,504,504,0.000270752
histogram_v1,random,505,505,0.000284459
histogram_v1,random,568,568,0.000336604
histogram_v1,random,569,569,0.000539771
histogram_v1,random,632,632,0.000372607
histogram_v1,random,633,633,0.000642029
histogram_v1,random,696,696,0.000428922
histogram_v1,random,697,697,0.000765727
histogram_v1,random,760,760,0.000508198
histogram_v1,random,761,761,0.000896277
histogram_v1,random,824,824,0.000579882
histogram_v1,random,825,825,0.000590631
histogram_v1,random,888,888,0.000663698
histogram_v1,random,889,889,0.000668963
histogram_v1,random,952,952,0.000779188
histogram_v1,random,953,953,0.000770241
histogram_v1,random,1016,1016,0.000852293
histogram_v1,random,1017,1017,0.000878292
histogram_v1,random,1080,1080,0.00170198
histogram_v1,random,1081,1081,0.00166388
histogram_v1,random,1144,1144,0.00184821
histogram_v1,random,1145,1145,0.0017848
histogram_v1,random,1208,1208,0.0020902
histogram_v1,random,1209,1209,0.00204559
histogram_v1,random,1272,1272,0.00219948
histogram_v1,random,1273,1273,0.00215699
histogram_v1,random,1336,1336,0.00245427
histogram_v1,random,1337,1337,0.00238371
histogram_v1,random,1400,1400,0.00261459
histogram_v1,random,1401,1401,0.00268315
histogram_v1,random,1464,1464,0.00289431
histogram_v1,random,1465,1465,0.00302499
histogram_v1,random,1528,1528,0.00321272
histogram_v1,random,1529,1529,0.002988
histogram_v1,random,1592,1592,0.00348926
histogram_v1,random,1593,1593,0.0034214
histogram_v1,random,1656,1656,0.00375748
histogram_v1,random,1657,1657,0.00373619
histogram_v1,random,1720,1720,0.00396553
histogram_v1,random,1721,1721,0.00386553
histogram_v1,random,1784,1784,0.00440521
histogram_v1,random,1785,1785,0.00422108
histogram_v1,random,1848,1848,0.00469795
histogram_v1,random,1849,1849,0.00467893
histogram_v1,random,1912,1912,0.00495237
histogram_v1,random,1913,1913,0.00496907
histogram_v1,random,1976,1976,0.00510656
histogram_v1,random,1977,1977,0.00513281
histogram_v1,random,2040,2040,0.00563735
histogram_v1,random,2041,2041,0.00570296
histogram_v1,random,2104,2104,0.00589944
histogram_v1,random,2105,2105,0.00602167
histogram_v1,random,2168,2168,0.00637012
histogram_v1,random,2169,2169,0.00635471
histogram_v1,random,2232,2232,0.006658
histogram_v1,random,2233,2233,0.00663471
histogram_v1,random,2296,2296,0.00718414
histogram_v1,random,2297,2297,0.00629854
histogram_v1,random,2360,2360,0.00720451
histogram_v1,random,2361,2361,0.00752063
histogram_v1,random,2424,2424,0.00745444
histogram_v1,random,2425,2425,0.0071915
histogram_v1,random,2488,2488,0.00829927
histogram_v1,random,2489,2489,0.00793366
histogram_v1,random,2552,2552,0.00847325
histogram_v1,random,2553,2553,0.00818884
histogram_v1,random,2616,2616,0.00920049
histogram_v1,random,2617,2617,0.00915047
histogram_v1,random,2680,2680,0.00970277
histogram_v1,random,2681,2681,0.00924172
histogram_v1,random,2744,2744,0.0101445
histogram_v1,random,2745,2745,0.0101361
histogram_v1,random,2808,2808,0.0105686
histogram_v1,random,2809,2809,0.0105794
histogram_v1,random,2872,2872,0.0109983
histogram_v1,random,2873,2873,0.0111033
histogram_v1,random,2936,2936,0.011576
histogram_v1,random,2937,2937,0.0110242
histogram_v1,random,3000,3000,0.0119417
histogram_v1,random,3001,3001,0.011917
histogram_v1,random,3064,3064,0.0126251
histogram_v1,random,3065,3065,0.0126126
histogram_v1,random,3128,3128,0.0131064
histogram_v1,random,3129,3129,0.012489
histogram_v1,random,3192,3192,0.0135313
histogram_v1,random,3193,3193,0.0136314
histogram_v1,random,3256,3256,0.0137471
histogram_v1,random,3257,3257,0.0142133
histogram_v1,random,3320,3320,0.0140241
histogram_v1,random,3321,3321,0.0147316
histogram_v1,random,3384,3384,0.0145283
histogram_v1,random,3385,3385,0.0153347
histogram_v1,random,3448,3448,0.0148639
histogram_v1,random,3449,3449,0.0155236
histogram_v1,random,3512,3512,0.0165001
histogram_v1,random,3513,3513,0.0164744
histogram_v1,random,3576,3576,0.0159647
histogram_v1,random,3577,3577,0.017108
histogram_v1,random,3640,3640,0.0172148
histogram_v1,random,3641,3641,0.0176215
histogram_v1,random,3704,3704,0.0183112
histogram_v1,random,3705,3705,0.0175476
histogram_v1,random,3768,3768,0.0179553
histogram_v1,random,3769,3769,0.0189432
histogram_v1,random,3832,3832,0.0184632
histogram_v1,random,3833,3833,0.0196394
histogram_v1,random,3896,3896,0.0202516
histogram_v1,random,3897,3897,0.0193431
histogram_v1,random,3960,3960,0.0205641
histogram_v1,random,3961,3961,0.0209536
histogram_v1,random,4024,4024,0.0209144
histogram_v1,random,4025,4025,0.0215879
histogram_v1,random,4088,4088,0.0213424
histogram_v1,random,4089,4089,0.0223119
histogram_v1,random,32,32,0.000110798
histogram_v1,random,33,33,0.000121022
histogram_v1,random,128,128,0.000136115
histogram_v1,random,129,129,0.000133041
histogram_v1,random,256,256,0.000201972
histogram_v1,random,257,257,0.000205921
histogram_v1,random,512,512,0.000457993
histogram_v1,random,513,513,0.000458829
histogram_v1,random,1024,1024,0.00157911
histogram_v1,random,1025,1025,0.000858788
histogram_v1,random,2048,2048,0.00575768
histogram_v1,random,2049,2049,0.00564941
histogram_v1,random,4096,4096,0.0220592
histogram_v1,random,4097,4097,0.0224158
histogram_v1,random,56,56,0.000115203
histogram_v1,random,57,57,0.000117048
histogram_v1,random,120,120,0.000119755
histogram_v1,random,121,121,0.000131251
histogram_v1,random,184,184,0.00012727
histogram_v1,random,185,185,0.000162757
histogram_v1,random,248,248,0.000157172
histogram_v1,random,249,249,0.000191016
histogram_v1,random,312,312,0.000184003
histogram_v1,random,313,313,0.000151119
histogram_v1,random,376,376,0.000207258
histogram_v1,random,377,377,0.000223806
histogram_v1,random,440,440,0.000242835
histogram_v1,random,441,441,0.000226653
histogram_v1,random,504,504,0.000276253
histogram_v1,random,505,505,0.000281522
histogram_v1,random,568,568,0.000331012
histogram_v1,random,569,569,0.000541363
histogram_v1,random,632,632,0.000366846
histogram_v1,random,633,633,0.000632588
histogram_v1,random,696,696,0.000449693
histogram_v1,random,697,697,0.000765425
histogram_v1,random,760,760,0.000508701
histogram_v1,random,761,761,0.000895287
histogram_v1,random,824,824,0.000549656
histogram_v1,random,825,825,0.000591611
histogram_v1,random,888,888,0.00066513
histogram_v1,random,889,889,0.000645998
histogram_v1,random,952,952,0.000744519
histogram_v1,random,953,953,0.000774437
histogram_v1,random,1016,1016,0.000856229
histogram_v1,random,1017,1017,0.000790298
histogram_v1,random,1080,1080,0.001609
histogram_v1,random,1081,1081,0.00171286
histogram_v1,random,1144,1144,0.0019046
histogram_v1,random,1145,1145,0.00188253
histogram_v1,random,1208,1208,0.00208749
histogram_v1,random,1209,1209,0.00193883
histogram_v1,random,1272,1272,0.00220036
histogram_v1,random,1273,1273,0.0022256
histogram_v1,random,1336,1336,0.00251511
histogram_v1,random,1337,1337,0.00251127
histogram_v1,random,1400,1400,0.00273353
histogram_v1,random,1401,1401,0.00244432
histogram_v1,random,1464,1464,0.00302797
histogram_v1,random,1465,1465,0.00267037
histogram_v1,random,1528,1528,0.00323861
histogram_v1,random,1529,1529,0.00325677
histogram_v1,random,1592,1592,0.00335466
histogram_v1,random,1593,1593,0.00345918
histogram_v1,random,1656,1656,0.00354871
histogram_v1,random,1657,1657,0.00354282
histogram_v1,random,1720,1720,0.00398236
histogram_v1,random,1721,1721,0.00381763
histogram_v1,random,1784,1784,0.00435671
histogram_v1,random,1785,1785,0.00425007
histogram_v1,random,1848,1848,0.00437564
histogram_v1,random,1849,1849,0.00454709
histogram_v1,random,1912,1912,0.00496821
histogram_v1,random,1913,1913,0.00497089
histogram_v1,random,1976,1976,0.00494815
histogram_v1,random,1977,1977,0.00515675
histogram_v1,random,2040,2040,0.00567796
histogram_v1,random,2041,2041,0.00561076
histogram_v1,random,2104,2104,0.00591004
histogram_v1,random,2105,2105,0.00589945
histogram_v1,random,2168,2168,0.00626116
histogram_v1,random,2169,2169,0.00621018
histogram_v1,random,2232,2232,0.00676004
histogram_v1,random,2233,2233,0.006743
histogram_v1,random,2296,2296,0.00676567
histogram_v1,random,2297,2297,0.00717962
histogram_v1,random,2360,2360,0.00753717
histogram_v1,random,2361,2361,0.00752536
histogram_v1,random,2424,2424,0.00759453
histogram_v1,random,2425,2425,0.00768141
histogram_v1,random,2488,2488,0.00764285
histogram_v1,random,2489,2489,0.00837386
histogram_v1,random,2552,2552,0.00878223
histogram_v1,random,2553,2553,0.00838364
histogram_v1,random,2616,2616,0.00885253
histogram_v1,random,2617,2617,0.00918763
histogram_v1,random,2680,2680,0.0097008
histogram_v1,random,2681,2681,0.00946269
histogram_v1,random,2744,2744,0.0101581
histogram_v1,random,2745,2745,0.00931641
histogram_v1,random,2808,2808,0.0102467
histogram_v1,random,2809,2809,0.0103359
histogram_v1,random,2872,2872,0.0111096
histogram_v1,random,2873,2873,0.0110825
histogram_v1,random,2936,2936,0.0114293
histogram_v1,random,2937,2937,0.0110981
histogram_v1,random,3000,3000,0.0113541
histogram_v1,random,3001,3001,0.0120473
histogram_v1,random,3064,3064,0.0125424
histogram_v1,random,3065,3065,0.0122832
histogram_v1,random,3128,3128,0.0121778
histogram_v1,random,3129,3129,0.0131034
histogram_v1,random,3192,3192,0.0133731
histogram_v1,random,3193,3193,0.0134312
histogram_v1,random,3256,3256,0.0143005
histogram_v1,random,3257,3257,0.0142247
histogram_v1,random,3320,3320,0.0137081
histogram_v1,random,3321,3321,0.0140289
histogram_v1,random,3384,3384,0.0153651
histogram_v1,random,3385,3385,0.0153513
histogram_v1,random,3448,3448,0.0147793
histogram_v1,random,3449,3449,0.0158827
histogram_v1,random,3512,3512,0.0158102
histogram_v1,random,3513,3513,0.016347
histogram_v1,random,3576,3576,0.0167222
histogram_v1,random,3577,3577,0.0171155
histogram_v1,random,3640,3640,0.0172503
histogram_v1,random,3641,3641,0.0176865
histogram_v1,random,3704,3704,0.0179913
histogram_v1,random,3705,3705,0.0183577
histogram_v1,random,3768,3768,0.0186831
histogram_v1,random,3769,3769,0.0189416
histogram_v1,random,3832,3832,0.0196535
histogram_v1,random,3833,3833,0.0196491
histogram_v1,random,3896,3896,0.0195997
histogram_v1,random,3897,3897,0.0196035
histogram_v1,random,3960,3960,0.0209591
histogram_v1,random,3961,3961,0.020946
histogram_v1,random,4024,4024,0.0209031
histogram_v1,random,4025,4025,0.0203789
histogram_v1,random,4088,4088,0.0207129
histogram_v1,random,4089,4089,0.021765
histogram_v1,random,32,32,0.00012094
histogram_v1,random,33,33,0.000103934
histogram_v1,random,128,128,0.000137257
histogram_v1,random,129,129,0.000145951
histogram_v1,random,256,256,0.000198438
histogram_v1,random,257,257,0.000202956
histogram_v1,random,512,512,0.000476757
histogram_v1,random,513,513,0.000464121
histogram_v1,random,1024,1024,0.00159267
histogram_v1,random,1025,1025,0.000900662
histogram_v1,random,2048,2048,0.00540453
histogram_v1,random,2049,2049,0.00526268
histogram_v1,random,4096,4096,0.0224173
histogram_v1,random,4097,4097,0.0212222
histogram_v2_1_localTBhist_strided,random,56,56,0.000116123
histogram_v2_1_localTBhist_strided,random,57,57,0.00010531
histogram_v2_1_localTBhist_strided,random,120,120,0.000147111
histogram_v2_1_localTBhist_strided,random,121,121,0.000121984
histogram_v2_1_localTBhist_strided,random,184,184,0.00014118
histogram_v2_1_localTBhist_strided,random,185,185,0.00012272
histogram_v2_1_localTBhist_strided,random,248,248,0.000123168
histogram_v2_1_localTBhist_strided,random,249,249,0.000132412
histogram_v2_1_localTBhist_strided,random,312,312,0.000126714
histogram_v2_1_localTBhist_strided,random,313,313,0.000132513
histogram_v2_1_localTBhist_strided,random,376,376,0.000129634
histogram_v2_1_localTBhist_strided,random,377,377,0.000135916
histogram_v2_1_localTBhist_strided,random,440,440,0.000131815
histogram_v2_1_localTBhist_strided,random,441,441,0.000145241
histogram_v2_1_localTBhist_strided,random,504,504,0.000135252
histogram_v2_1_localTBhist_strided,random,505,505,0.000152162
histogram_v2_1_localTBhist_strided,random,568,568,0.000151613
histogram_v2_1_localTBhist_strided,random,569,569,0.000171524
histogram_v2_1_localTBhist_strided,random,632,632,0.000152159
histogram_v2_1_localTBhist_strided,random,633,633,0.000185472
histogram_v2_1_localTBhist_strided,random,696,696,0.000156885
histogram_v2_1_localTBhist_strided,random,697,697,0.000219516
histogram_v2_1_localTBhist_strided,random,760,760,0.00017395
histogram_v2_1_localTBhist_strided,random,761,761,0.000225008
histogram_v2_1_localTBhist_strided,random,824,824,0.00021289
histogram_v2_1_localTBhist_strided,random,825,825,0.000215335
histogram_v2_1_localTBhist_strided,random,888,888,0.000188511
histogram_v2_1_localTBhist_strided,random,889,889,0.000236815
histogram_v2_1_localTBhist_strided,random,952,952,0.00027141
histogram_v2_1_localTBhist_strided,random,953,953,0.00026376
histogram_v2_1_localTBhist_strided,random,1016,1016,0.000300673
histogram_v2_1_localTBhist_strided,random,1017,1017,0.000300203
histogram_v2_1_localTBhist_strided,random,1080,1080,0.000405069
histogram_v2_1_localTBhist_strided,random,1081,1081,0.000410527
histogram_v2_1_localTBhist_strided,random,1144,1144,0.000404405
histogram_v2_1_localTBhist_strided,random,1145,1145,0.000406063
histogram_v2_1_localTBhist_strided,random,1208,1208,0.00044048
histogram_v2_1_localTBhist_strided,random,1209,1209,0.000449895
histogram_v2_1_localTBhist_strided,random,1272,1272,0.000442205
histogram_v2_1_localTBhist_strided,random,1273,1273,0.000455103
histogram_v2_1_localTBhist_strided,random,1336,1336,0.000501594
histogram_v2_1_localTBhist_strided,random,1337,1337,0.000485006
histogram_v2_1_localTBhist_strided,random,1400,1400,0.000565119
histogram_v2_1_localTBhist_strided,random,1401,1401,0.000580193
histogram_v2_1_localTBhist_strided,random,1464,1464,0.000636964
histogram_v2_1_localTBhist_strided,random,1465,1465,0.00063885
histogram_v2_1_localTBhist_strided,random,1528,1528,0.000669922
histogram_v2_1_localTBhist_strided,random,1529,1529,0.000645399
histogram_v2_1_localTBhist_strided,random,1592,1592,0.000642197
histogram_v2_1_localTBhist_strided,random,1593,1593,0.000666392
histogram_v2_1_localTBhist_strided,random,1656,1656,0.000695624
histogram_v2_1_localTBhist_strided,random,1657,1657,0.000729765
histogram_v2_1_localTBhist_strided,random,1720,1720,0.000797439
histogram_v2_1_localTBhist_strided,random,1721,1721,0.000807683
histogram_v2_1_localTBhist_strided,random,1784,1784,0.000864028
histogram_v2_1_localTBhist_strided,random,1785,1785,0.00086963
histogram_v2_1_localTBhist_strided,random,1848,1848,0.000870864
histogram_v2_1_localTBhist_strided,random,1849,1849,0.00088541
histogram_v2_1_localTBhist_strided,random,1912,1912,0.000915522
histogram_v2_1_localTBhist_strided,random,1913,1913,0.000910026
histogram_v2_1_localTBhist_strided,random,1976,1976,0.000976691
histogram_v2_1_localTBhist_strided,random,1977,1977,0.000947427
histogram_v2_1_localTBhist_strided,random,2040,2040,0.00105094
histogram_v2_1_localTBhist_strided,random,2041,2041,0.001063
histogram_v2_1_localTBhist_strided,random,2104,2104,0.0011176
histogram_v2_1_localTBhist_strided,random,2105,2105,0.00105207
histogram_v2_1_localTBhist_strided,random,2168,2168,0.00113083
histogram_v2_1_localTBhist_strided,random,2169,2169,0.00110444
histogram_v2_1_localTBhist_strided,random,2232,2232,0.00122455
histogram_v2_1_localTBhist_strided,random,2233,2233,0.00122092
